Cow no,Weight(kg),Increase Weight,Total Feed(kg),Corn(ভুট্টা)(kg),Khail(খৈল)(kg),Khor(খর)(kg),Green Grass(kg),Sailase(সাইলেস)(kg),Wheat Husk(kg),Madicine,Water,Current,Coil,Worker,Total cost(tk),Milk(Ltr.),kids income,kids cost,Milk Income,Milk Revenue,Kids Revenue,Total_Revenue,profit
284,412,412.1232,12.36,2.472,9.0092,8.6424,3.09,1.236,2.472,30,6.66,3.33,10,66,910.6292,10.3,49.01960784,13.7254902,721,-189.6292,35.29411765,-154.3350824,0
285,341,341.1232,10.23,2.046,9.1324,8.7656,2.5575,1.023,2.046,30,6.66,3.33,10,66,887.9255,8.525,49.01960784,13.7254902,596.75,-291.1755,35.29411765,-255.8813824,0
286,381,381.1232,11.43,2.286,9.2556,8.8888,2.8575,1.143,2.286,30,6.66,3.33,10,66,914.0063,9.525,49.01960784,13.7254902,666.75,-247.2563,35.29411765,-211.9621824,0
287,367,367.1232,11.01,2.202,9.3788,9.012,2.7525,1.101,2.202,30,6.66,3.33,10,66,916.3541,9.175,49.01960784,13.7254902,642.25,-274.1041,35.29411765,-238.8099824,0
288,391,391.1232,11.73,2.346,9.502,9.1352,2.9325,1.173,2.346,30,6.66,3.33,10,66,935.4029,9.775,49.01960784,13.7254902,684.25,-251.1529,35.29411765,-215.8587824,0
289,394,394.1232,11.82,2.364,9.6252,9.2584,2.955,1.182,2.364,30,6.66,3.33,10,66,945.2222,9.85,49.01960784,13.7254902,689.5,-255.7222,35.29411765,-220.4280824,0
290,364,364.1232,10.92,2.184,9.7484,9.3816,2.73,1.092,2.184,30,6.66,3.33,10,66,940.538,9.1,49.01960784,13.7254902,637,-303.538,35.29411765,-268.2438824,0
291,425,425.1232,12.75,2.55,9.8716,9.5048,3.1875,1.275,2.55,30,6.66,3.33,10,66,975.8483,10.625,49.01960784,13.7254902,743.75,-232.0983,35.29411765,-196.8041824,0
292,427,427.1232,12.81,2.562,9.9948,9.628,3.2025,1.281,2.562,30,6.66,3.33,10,66,985.2281,10.675,49.01960784,13.7254902,747.25,-237.9781,35.29411765,-202.6839824,0
293,329,329.1232,9.87,1.974,10.118,9.7512,2.4675,0.987,1.974,30,6.66,3.33,10,66,950.6579,8.225,49.01960784,13.7254902,575.75,-374.9079,35.29411765,-339.6137824,0
294,346,346.1232,10.38,2.076,10.2412,9.8744,2.595,1.038,2.076,30,6.66,3.33,10,66,966.6302,8.65,49.01960784,13.7254902,605.5,-361.1302,35.29411765,-325.8360824,0
295,354,354.1232,10.62,2.124,10.3644,9.9976,2.655,1.062,2.124,30,6.66,3.33,10,66,978.647,8.85,49.01960784,13.7254902,619.5,-359.147,35.29411765,-323.8528824,0
296,359,359.1232,10.77,2.154,10.4876,10.1208,2.6925,1.077,2.154,30,6.66,3.33,10,66,989.3453,8.975,49.01960784,13.7254902,628.25,-361.0953,35.29411765,-325.8011824,0
297,354,354.1232,10.62,2.124,10.6108,10.244,2.655,1.062,2.124,30,6.66,3.33,10,66,995.6486,8.85,49.01960784,13.7254902,619.5,-376.1486,35.29411765,-340.8544824,0
298,364,364.1232,10.92,2.184,10.734,10.3672,2.73,1.092,2.184,30,6.66,3.33,10,66,1008.5444,9.1,49.01960784,13.7254902,637,-371.5444,35.29411765,-336.2502824,0
299,348,348.1232,10.44,2.088,10.8572,10.4904,2.61,1.044,2.088,30,6.66,3.33,10,66,1010.0132,8.7,49.01960784,13.7254902,609,-401.0132,35.29411765,-365.7190824,0
300,399,399.1232,11.97,2.394,10.9804,10.6136,2.9925,1.197,2.394,30,6.66,3.33,10,66,1040.9285,9.975,49.01960784,13.7254902,698.25,-342.6785,35.29411765,-307.3843824,0
301,406,406.1232,12.18,2.436,11.1036,10.7368,3.045,1.218,2.436,30,6.66,3.33,10,66,1052.5058,10.15,49.01960784,13.7254902,710.5,-342.0058,35.29411765,-306.7116824,0
302,409,409.1232,12.27,2.454,11.2268,10.86,3.0675,1.227,2.454,30,6.66,3.33,10,66,1062.3251,10.225,49.01960784,13.7254902,715.75,-346.5751,35.29411765,-311.2809824,0
303,504,504.1232,15.12,3.024,11.35,10.9832,3.78,1.512,3.024,30,6.66,3.33,10,66,1112.5784,12.6,49.01960784,13.7254902,882,-230.5784,35.29411765,-195.2842824,0
304,601,601.1232,18.03,3.606,11.4732,11.1064,4.5075,1.803,3.606,30,6.66,3.33,10,66,1163.7107,15.025,49.01960784,13.7254902,1051.75,-111.9607,35.29411765,-76.66658235,0
305,564,564.1232,16.92,3.384,11.5964,11.2296,4.23,1.692,3.384,30,6.66,3.33,10,66,1155.95,14.1,49.01960784,13.7254902,987,-168.95,35.29411765,-133.6558824,0
306,568,568.1232,17.04,3.408,11.7196,11.3528,4.26,1.704,3.408,30,6.66,3.33,10,66,1166.2088,14.2,49.01960784,13.7254902,994,-172.2088,35.29411765,-136.9146824,0
307,364,364.1232,10.92,2.184,11.8428,11.476,2.73,1.092,2.184,30,6.66,3.33,10,66,1085.0516,9.1,49.01960784,13.7254902,637,-448.0516,35.29411765,-412.7574824,0
308,293,293.1232,8.79,1.758,11.966,11.5992,2.1975,0.879,1.758,30,6.66,3.33,10,66,1062.3479,7.325,49.01960784,13.7254902,512.75,-549.5979,35.29411765,-514.3037824,0
309,368,368.1232,11.04,2.208,12.0892,11.7224,2.76,1.104,2.208,30,6.66,3.33,10,66,1103.8112,9.2,49.01960784,13.7254902,644,-459.8112,35.29411765,-424.5170824,0
310,468,468.1232,14.04,2.808,12.2124,11.8456,3.51,1.404,2.808,30,6.66,3.33,10,66,1156.262,11.7,49.01960784,13.7254902,819,-337.262,35.29411765,-301.9678824,0
311,458,458.1232,13.74,2.748,12.3356,11.9688,3.435,1.374,2.748,30,6.66,3.33,10,66,1160.3678,11.45,49.01960784,13.7254902,801.5,-358.8678,35.29411765,-323.5736824,0
312,487,487.1232,14.61,2.922,12.4588,12.092,3.6525,1.461,2.922,30,6.66,3.33,10,66,1181.6141,12.175,49.01960784,13.7254902,852.25,-329.3641,35.29411765,-294.0699824,0
313,461,461.1232,13.83,2.766,12.582,12.2152,3.4575,1.383,2.766,30,6.66,3.33,10,66,1178.6879,11.525,49.01960784,13.7254902,806.75,-371.9379,35.29411765,-336.6437824,0
314,457,457.1232,13.71,2.742,12.7052,12.3384,3.4275,1.371,2.742,30,6.66,3.33,10,66,1185.4307,11.425,49.01960784,13.7254902,799.75,-385.6807,35.29411765,-350.3865824,0
315,364,364.1232,10.92,2.184,12.8284,12.4616,2.73,1.092,2.184,30,6.66,3.33,10,66,1153.058,9.1,49.01960784,13.7254902,637,-516.058,35.29411765,-480.7638824,0
316,498,498.1232,14.94,2.988,12.9516,12.5848,3.735,1.494,2.988,30,6.66,3.33,10,66,1220.4518,12.45,49.01960784,13.7254902,871.5,-348.9518,35.29411765,-313.6576824,0
317,558,558.1232,16.74,3.348,13.0748,12.708,4.185,1.674,3.348,30,6.66,3.33,10,66,1255.3226,13.95,49.01960784,13.7254902,976.5,-278.8226,35.29411765,-243.5284824,0
318,348,348.1232,10.44,2.088,13.198,12.8312,2.61,1.044,2.088,30,6.66,3.33,10,66,1171.5284,8.7,49.01960784,13.7254902,609,-562.5284,35.29411765,-527.2342824,0
319,451,451.1232,13.53,2.706,13.3212,12.9544,3.3825,1.353,2.706,30,6.66,3.33,10,66,1225.2977,11.275,49.01960784,13.7254902,789.25,-436.0477,35.29411765,-400.7535824,0
320,416,416.1232,12.48,2.496,13.4444,13.0776,3.12,1.248,2.496,30,6.66,3.33,10,66,1218.416,10.4,49.01960784,13.7254902,728,-490.416,35.29411765,-455.1218824,0
321,427,427.1232,12.81,2.562,13.5676,13.2008,3.2025,1.281,2.562,30,6.66,3.33,10,66,1231.7513,10.675,49.01960784,13.7254902,747.25,-484.5013,35.29411765,-449.2071824,0
322,428,428.1232,12.84,2.568,13.6908,13.324,3.21,1.284,2.568,30,6.66,3.33,10,66,1240.6916,10.7,49.01960784,13.7254902,749,-491.6916,35.29411765,-456.3974824,0
323,327,327.1232,9.81,1.962,13.814,13.4472,2.4525,0.981,1.962,30,6.66,3.33,10,66,1204.8029,8.175,49.01960784,13.7254902,572.25,-632.5529,35.29411765,-597.2587824,0
324,438,438.1232,13.14,2.628,13.9372,13.5704,3.285,1.314,2.628,30,6.66,3.33,10,66,1262.0882,10.95,49.01960784,13.7254902,766.5,-495.5882,35.29411765,-460.2940824,0
325,412,412.1232,12.36,2.472,14.0604,13.6936,3.09,1.236,2.472,30,6.66,3.33,10,66,1259.162,10.3,49.01960784,13.7254902,721,-538.162,35.29411765,-502.8678824,0
326,392,392.1232,11.76,2.352,14.1836,13.8168,2.94,1.176,2.352,30,6.66,3.33,10,66,1258.8728,9.8,49.01960784,13.7254902,686,-572.8728,35.29411765,-537.5786824,0
327,419,419.1232,12.57,2.514,14.3068,13.94,3.1425,1.257,2.514,30,6.66,3.33,10,66,1279.2401,10.475,49.01960784,13.7254902,733.25,-545.9901,35.29411765,-510.6959824,0
328,364,364.1232,10.92,2.184,14.43,14.0632,2.73,1.092,2.184,30,6.66,3.33,10,66,1263.5684,9.1,49.01960784,13.7254902,637,-626.5684,35.29411765,-591.2742824,0
329,392,392.1232,11.76,2.352,14.5532,14.1864,2.94,1.176,2.352,30,6.66,3.33,10,66,1284.3752,9.8,49.01960784,13.7254902,686,-598.3752,35.29411765,-563.0810824,0
330,296,296.1232,8.88,1.776,14.6764,14.3096,2.22,0.888,1.776,30,6.66,3.33,10,66,1250.684,7.4,49.01960784,13.7254902,518,-732.684,35.29411765,-697.3898824,0
331,346,346.1232,10.38,2.076,14.7996,14.4328,2.595,1.038,2.076,30,6.66,3.33,10,66,1281.1598,8.65,49.01960784,13.7254902,605.5,-675.6598,35.29411765,-640.3656824,0
332,354,354.1232,10.62,2.124,14.9228,14.556,2.655,1.062,2.124,30,6.66,3.33,10,66,1293.1766,8.85,49.01960784,13.7254902,619.5,-673.6766,35.29411765,-638.3824824,0
333,291,291.1232,8.73,1.746,15.046,14.6792,2.1825,0.873,1.746,30,6.66,3.33,10,66,1273.9889,7.275,49.01960784,13.7254902,509.25,-764.7389,35.29411765,-729.4447824,0
334,367,367.1232,11.01,2.202,15.1692,14.8024,2.7525,1.101,2.202,30,6.66,3.33,10,66,1315.8917,9.175,49.01960784,13.7254902,642.25,-673.6417,35.29411765,-638.3475824,0
335,364,364.1232,10.92,2.184,15.2924,14.9256,2.73,1.092,2.184,30,6.66,3.33,10,66,1323.074,9.1,49.01960784,13.7254902,637,-686.074,35.29411765,-650.7798824,0
336,349,349.1232,10.47,2.094,15.4156,15.0488,2.6175,1.047,2.094,30,6.66,3.33,10,66,1324.9823,8.725,49.01960784,13.7254902,610.75,-714.2323,35.29411765,-678.9381824,0
337,357,357.1232,10.71,2.142,15.5388,15.172,2.6775,1.071,2.142,30,6.66,3.33,10,66,1336.9991,8.925,49.01960784,13.7254902,624.75,-712.2491,35.29411765,-676.9549824,0
338,281,281.1232,8.43,1.686,15.662,15.2952,2.1075,0.843,1.686,30,6.66,3.33,10,66,1312.0979,7.025,49.01960784,13.7254902,491.75,-820.3479,35.29411765,-785.0537824,0
339,267,267.1232,8.01,1.602,15.7852,15.4184,2.0025,0.801,1.602,30,6.66,3.33,10,66,1314.4457,6.675,49.01960784,13.7254902,467.25,-847.1957,35.29411765,-811.9015824,0
340,287,287.1232,8.61,1.722,15.9084,15.5416,2.1525,0.861,1.722,30,6.66,3.33,10,66,1331.7365,7.175,49.01960784,13.7254902,502.25,-829.4865,35.29411765,-794.1923824,0
341,283,283.1232,8.49,1.698,16.0316,15.6648,2.1225,0.849,1.698,30,6.66,3.33,10,66,1338.4793,7.075,49.01960784,13.7254902,495.25,-843.2293,35.29411765,-807.9351824,0
342,369,369.1232,11.07,2.214,16.1548,15.788,2.7675,1.107,2.214,30,6.66,3.33,10,66,1384.7771,9.225,49.01960784,13.7254902,645.75,-739.0271,35.29411765,-703.7329824,0
343,398,398.1232,11.94,2.388,16.278,15.9112,2.985,1.194,2.388,30,6.66,3.33,10,66,1406.0234,9.95,49.01960784,13.7254902,696.5,-709.5234,35.29411765,-674.2292824,0
344,498,498.1232,14.94,2.988,16.4012,16.0344,3.735,1.494,2.988,30,6.66,3.33,10,66,1458.4742,12.45,49.01960784,13.7254902,871.5,-586.9742,35.29411765,-551.6800824,0
345,458,458.1232,13.74,2.748,16.5244,16.1576,3.435,1.374,2.748,30,6.66,3.33,10,66,1449.395,11.45,49.01960784,13.7254902,801.5,-647.895,35.29411765,-612.6008824,0
346,399,399.1232,11.97,2.394,16.6476,16.2808,2.9925,1.197,2.394,30,6.66,3.33,10,66,1431.9653,9.975,49.01960784,13.7254902,698.25,-733.7153,35.29411765,-698.4211824,0
347,300,300.1232,9,1.8,16.7708,16.404,2.25,0.9,1.8,30,6.66,3.33,10,66,1396.9556,7.5,49.01960784,13.7254902,525,-871.9556,35.29411765,-836.6614824,0
348,395,395.1232,11.85,2.37,16.894,16.5272,2.9625,1.185,2.37,30,6.66,3.33,10,66,1447.2089,9.875,49.01960784,13.7254902,691.25,-755.9589,35.29411765,-720.6647824,0
349,364,364.1232,10.92,2.184,17.0172,16.6504,2.73,1.092,2.184,30,6.66,3.33,10,66,1442.0852,9.1,49.01960784,13.7254902,637,-805.0852,35.29411765,-769.7910824,0
350,465,465.1232,13.95,2.79,17.1404,16.7736,3.4875,1.395,2.79,30,6.66,3.33,10,66,1494.9755,11.625,49.01960784,13.7254902,813.75,-681.2255,35.29411765,-645.9313824,0
351,439,439.1232,13.17,2.634,17.2636,16.8968,3.2925,1.317,2.634,30,6.66,3.33,10,66,1492.0493,10.975,49.01960784,13.7254902,768.25,-723.7993,35.29411765,-688.5051824,0
352,211,211.1232,6.33,1.266,17.3868,17.02,1.5825,0.633,1.266,30,6.66,3.33,10,66,1400.3441,5.275,49.01960784,13.7254902,369.25,-1031.0941,35.29411765,-995.7999824,0
353,311,311.1232,9.33,1.866,17.51,17.1432,2.3325,0.933,1.866,30,6.66,3.33,10,66,1452.7949,7.775,49.01960784,13.7254902,544.25,-908.5449,35.29411765,-873.2507824,0
354,296,296.1232,8.88,1.776,17.6332,17.2664,2.22,0.888,1.776,30,6.66,3.33,10,66,1454.7032,7.4,49.01960784,13.7254902,518,-936.7032,35.29411765,-901.4090824,0
355,420,420.1232,12.6,2.52,17.7564,17.3896,3.15,1.26,2.52,30,6.66,3.33,10,66,1517.702,10.5,49.01960784,13.7254902,735,-782.702,35.29411765,-747.4078824,0
356,220,220.1232,6.6,1.32,17.8796,17.5128,1.65,0.66,1.32,30,6.66,3.33,10,66,1438.3028,5.5,49.01960784,13.7254902,385,-1053.3028,35.29411765,-1018.008682,0
357,469,469.1232,14.07,2.814,18.0028,17.636,3.5175,1.407,2.814,30,6.66,3.33,10,66,1556.2391,11.725,49.01960784,13.7254902,820.75,-735.4891,35.29411765,-700.1949824,0
358,451,451.1232,13.53,2.706,18.126,17.7592,3.3825,1.353,2.706,30,6.66,3.33,10,66,1556.8289,11.275,49.01960784,13.7254902,789.25,-767.5789,35.29411765,-732.2847824,0
359,267,267.1232,8.01,1.602,18.2492,17.8824,2.0025,0.801,1.602,30,6.66,3.33,10,66,1484.4617,6.675,49.01960784,13.7254902,467.25,-1017.2117,35.29411765,-981.9175824,0
360,319,319.1232,9.57,1.914,18.3724,18.0056,2.3925,0.957,1.914,30,6.66,3.33,10,66,1515.8165,7.975,49.01960784,13.7254902,558.25,-957.5665,35.29411765,-922.2723824,0
361,431,431.1232,12.93,2.586,18.4956,18.1288,3.2325,1.293,2.586,30,6.66,3.33,10,66,1573.5413,10.775,49.01960784,13.7254902,754.25,-819.2913,35.29411765,-783.9971824,0
362,511,511.1232,15.33,3.066,18.6188,18.252,3.8325,1.533,3.066,30,6.66,3.33,10,66,1617.2021,12.775,49.01960784,13.7254902,894.25,-722.9521,35.29411765,-687.6579824,0
363,265,265.1232,7.95,1.59,18.742,18.3752,1.9875,0.795,1.59,30,6.66,3.33,10,66,1517.5859,6.625,49.01960784,13.7254902,463.75,-1053.8359,35.29411765,-1018.541782,0
364,431,431.1232,12.93,2.586,18.8652,18.4984,3.2325,1.293,2.586,30,6.66,3.33,10,66,1599.0437,10.775,49.01960784,13.7254902,754.25,-844.7937,35.29411765,-809.4995824,0
365,364,364.1232,10.92,2.184,18.9884,18.6216,2.73,1.092,2.184,30,6.66,3.33,10,66,1578.098,9.1,49.01960784,13.7254902,637,-941.098,35.29411765,-905.8038824,0
366,291,291.1232,8.73,1.746,19.1116,18.7448,2.1825,0.873,1.746,30,6.66,3.33,10,66,1554.5153,7.275,49.01960784,13.7254902,509.25,-1045.2653,35.29411765,-1009.971182,0
367,317,317.1232,9.51,1.902,19.2348,18.868,2.3775,0.951,1.902,30,6.66,3.33,10,66,1574.4431,7.925,49.01960784,13.7254902,554.75,-1019.6931,35.29411765,-984.3989824,0
368,531,531.1232,15.93,3.186,19.358,18.9912,3.9825,1.593,3.186,30,6.66,3.33,10,66,1676.9969,13.275,49.01960784,13.7254902,929.25,-747.7469,35.29411765,-712.4527824,0
369,478,478.1232,14.34,2.868,19.4812,19.1144,3.585,1.434,2.868,30,6.66,3.33,10,66,1662.2042,11.95,49.01960784,13.7254902,836.5,-825.7042,35.29411765,-790.4100824,0
370,413,413.1232,12.39,2.478,19.6044,19.2376,3.0975,1.239,2.478,30,6.66,3.33,10,66,1642.1375,10.325,49.01960784,13.7254902,722.75,-919.3875,35.29411765,-884.0933824,0
371,313,313.1232,9.39,1.878,19.7276,19.3608,2.3475,0.939,1.878,30,6.66,3.33,10,66,1606.6883,7.825,49.01960784,13.7254902,547.75,-1058.9383,35.29411765,-1023.644182,0
372,432,432.1232,12.96,2.592,19.8508,19.484,3.24,1.296,2.592,30,6.66,3.33,10,66,1667.4896,10.8,49.01960784,13.7254902,756,-911.4896,35.29411765,-876.1954824,0
373,512,512.1232,15.36,3.072,19.974,19.6072,3.84,1.536,3.072,30,6.66,3.33,10,66,1711.1504,12.8,49.01960784,13.7254902,896,-815.1504,35.29411765,-779.8562824,0
374,349,349.1232,10.47,2.094,20.0972,19.7304,2.6175,1.047,2.094,30,6.66,3.33,10,66,1648.0127,8.725,49.01960784,13.7254902,610.75,-1037.2627,35.29411765,-1001.968582,0
375,364,364.1232,10.92,2.184,20.2204,19.8536,2.73,1.092,2.184,30,6.66,3.33,10,66,1663.106,9.1,49.01960784,13.7254902,637,-1026.106,35.29411765,-990.8118824,0
376,512,512.1232,15.36,3.072,20.3436,19.9768,3.84,1.536,3.072,30,6.66,3.33,10,66,1736.6528,12.8,49.01960784,13.7254902,896,-840.6528,35.29411765,-805.3586824,0
377,464,464.1232,13.92,2.784,20.4668,20.1,3.48,1.392,2.784,30,6.66,3.33,10,66,1724.0576,11.6,49.01960784,13.7254902,812,-912.0576,35.29411765,-876.7634824,0
378,346,346.1232,10.38,2.076,20.59,20.2232,2.595,1.038,2.076,30,6.66,3.33,10,66,1680.6974,8.65,49.01960784,13.7254902,605.5,-1075.1974,35.29411765,-1039.903282,0
379,257,257.1232,7.71,1.542,20.7132,20.3464,1.9275,0.771,1.542,30,6.66,3.33,10,66,1650.0827,6.425,49.01960784,13.7254902,449.75,-1200.3327,35.29411765,-1165.038582,0
380,394,394.1232,11.82,2.364,20.8364,20.4696,2.955,1.182,2.364,30,6.66,3.33,10,66,1718.795,9.85,49.01960784,13.7254902,689.5,-1029.295,35.29411765,-994.0008824,0
381,246,246.1232,7.38,1.476,20.9596,20.5928,1.845,0.738,1.476,30,6.66,3.33,10,66,1662.2498,6.15,49.01960784,13.7254902,430.5,-1231.7498,35.29411765,-1196.455682,0
382,411,411.1232,12.33,2.466,21.0828,20.716,3.0825,1.233,2.466,30,6.66,3.33,10,66,1743.2681,10.275,49.01960784,13.7254902,719.25,-1024.0181,35.29411765,-988.7239824,0
383,435,435.1232,13.05,2.61,21.206,20.8392,3.2625,1.305,2.61,30,6.66,3.33,10,66,1762.3169,10.875,49.01960784,13.7254902,761.25,-1001.0669,35.29411765,-965.7727824,0
384,532,532.1232,15.96,3.192,21.3292,20.9624,3.99,1.596,3.192,30,6.66,3.33,10,66,1813.4492,13.3,49.01960784,13.7254902,931,-882.4492,35.29411765,-847.1550824,0
385,432,432.1232,12.96,2.592,21.4524,21.0856,3.24,1.296,2.592,30,6.66,3.33,10,66,1778,10.8,49.01960784,13.7254902,756,-1022,35.29411765,-986.7058824,0
386,325,325.1232,9.75,1.95,21.5756,21.2088,2.4375,0.975,1.95,30,6.66,3.33,10,66,1739.4743,8.125,49.01960784,13.7254902,568.75,-1170.7243,35.29411765,-1135.430182,0
387,343,343.1232,10.29,2.058,21.6988,21.332,2.5725,1.029,2.058,30,6.66,3.33,10,66,1755.8861,8.575,49.01960784,13.7254902,600.25,-1155.6361,35.29411765,-1120.341982,0
388,475,475.1232,14.25,2.85,21.822,21.4552,3.5625,1.425,2.85,30,6.66,3.33,10,66,1822.4009,11.875,49.01960784,13.7254902,831.25,-991.1509,35.29411765,-955.8567824,0
389,297,297.1232,8.91,1.782,21.9452,21.5784,2.2275,0.891,1.782,30,6.66,3.33,10,66,1752.6707,7.425,49.01960784,13.7254902,519.75,-1232.9207,35.29411765,-1197.626582,0
390,474,474.1232,14.22,2.844,22.0684,21.7016,3.555,1.422,2.844,30,6.66,3.33,10,66,1838.963,11.85,49.01960784,13.7254902,829.5,-1009.463,35.29411765,-974.1688824,0
391,296,296.1232,8.88,1.776,22.1916,21.8248,2.22,0.888,1.776,30,6.66,3.33,10,66,1769.2328,7.4,49.01960784,13.7254902,518,-1251.2328,35.29411765,-1215.938682,0
392,474,474.1232,14.22,2.844,22.3148,21.948,3.555,1.422,2.844,30,6.66,3.33,10,66,1855.9646,11.85,49.01960784,13.7254902,829.5,-1026.4646,35.29411765,-991.1704824,0
393,295,295.1232,8.85,1.77,22.438,22.0712,2.2125,0.885,1.77,30,6.66,3.33,10,66,1785.7949,7.375,49.01960784,13.7254902,516.25,-1269.5449,35.29411765,-1234.250782,0
394,473,473.1232,14.19,2.838,22.5612,22.1944,3.5475,1.419,2.838,30,6.66,3.33,10,66,1872.5267,11.825,49.01960784,13.7254902,827.75,-1044.7767,35.29411765,-1009.482582,0
395,343,343.1232,10.29,2.058,22.6844,22.3176,2.5725,1.029,2.058,30,6.66,3.33,10,66,1823.8925,8.575,49.01960784,13.7254902,600.25,-1223.6425,35.29411765,-1188.348382,0
396,294,294.1232,8.82,1.764,22.8076,22.4408,2.205,0.882,1.764,30,6.66,3.33,10,66,1810.8578,7.35,49.01960784,13.7254902,514.5,-1296.3578,35.29411765,-1261.063682,0
397,501,501.1232,15.03,3.006,22.9308,22.564,3.7575,1.503,3.006,30,6.66,3.33,10,66,1910.3351,12.525,49.01960784,13.7254902,876.75,-1033.5851,35.29411765,-998.2909824,0
398,444,444.1232,13.32,2.664,23.054,22.6872,3.33,1.332,2.664,30,6.66,3.33,10,66,1893.7844,11.1,49.01960784,13.7254902,777,-1116.7844,35.29411765,-1081.490282,0
399,372,372.1232,11.16,2.232,23.1772,22.8104,2.79,1.116,2.232,30,6.66,3.33,10,66,1870.6412,9.3,49.01960784,13.7254902,651,-1219.6412,35.29411765,-1184.347082,0
400,499,499.1232,14.97,2.994,23.3004,22.9336,3.7425,1.497,2.994,30,6.66,3.33,10,66,1934.9585,12.475,49.01960784,13.7254902,873.25,-1061.7085,35.29411765,-1026.414382,0
401,443,443.1232,13.29,2.658,23.4236,23.0568,3.3225,1.329,2.658,30,6.66,3.33,10,66,1918.8473,11.075,49.01960784,13.7254902,775.25,-1143.5973,35.29411765,-1108.303182,0
402,373,373.1232,11.19,2.238,23.5468,23.18,2.7975,1.119,2.238,30,6.66,3.33,10,66,1896.5831,9.325,49.01960784,13.7254902,652.75,-1243.8331,35.29411765,-1208.538982,0
403,498,498.1232,14.94,2.988,23.67,23.3032,3.735,1.494,2.988,30,6.66,3.33,10,66,1960.0214,12.45,49.01960784,13.7254902,871.5,-1088.5214,35.29411765,-1053.227282,0
404,442,442.1232,13.26,2.652,23.7932,23.4264,3.315,1.326,2.652,30,6.66,3.33,10,66,1943.9102,11.05,49.01960784,13.7254902,773.5,-1170.4102,35.29411765,-1135.116082,0
405,374,374.1232,11.22,2.244,23.9164,23.5496,2.805,1.122,2.244,30,6.66,3.33,10,66,1922.525,9.35,49.01960784,13.7254902,654.5,-1268.025,35.29411765,-1232.730882,0
406,497,497.1232,14.91,2.982,24.0396,23.6728,3.7275,1.491,2.982,30,6.66,3.33,10,66,1985.0843,12.425,49.01960784,13.7254902,869.75,-1115.3343,35.29411765,-1080.040182,0
407,443,443.1232,13.29,2.658,24.1628,23.796,3.3225,1.329,2.658,30,6.66,3.33,10,66,1969.8521,11.075,49.01960784,13.7254902,775.25,-1194.6021,35.29411765,-1159.307982,0
408,375,375.1232,11.25,2.25,24.286,23.9192,2.8125,1.125,2.25,30,6.66,3.33,10,66,1948.4669,9.375,49.01960784,13.7254902,656.25,-1292.2169,35.29411765,-1256.922782,0
409,442,442.1232,13.26,2.652,24.4092,24.0424,3.315,1.326,2.652,30,6.66,3.33,10,66,1986.4142,11.05,49.01960784,13.7254902,773.5,-1212.9142,35.29411765,-1177.620082,0
410,495,495.1232,14.85,2.97,24.5324,24.1656,3.7125,1.485,2.97,30,6.66,3.33,10,66,2018.2085,12.375,49.01960784,13.7254902,866.25,-1151.9585,35.29411765,-1116.664382,0
411,376,376.1232,11.28,2.256,24.6556,24.2888,2.82,1.128,2.256,30,6.66,3.33,10,66,1974.4088,9.4,49.01960784,13.7254902,658,-1316.4088,35.29411765,-1281.114682,0
412,441,441.1232,13.23,2.646,24.7788,24.412,3.3075,1.323,2.646,30,6.66,3.33,10,66,2011.4771,11.025,49.01960784,13.7254902,771.75,-1239.7271,35.29411765,-1204.432982,0
413,375,375.1232,11.25,2.25,24.902,24.5352,2.8125,1.125,2.25,30,6.66,3.33,10,66,1990.9709,9.375,49.01960784,13.7254902,656.25,-1334.7209,35.29411765,-1299.426782,0
414,494,494.1232,14.82,2.964,25.0252,24.6584,3.705,1.482,2.964,30,6.66,3.33,10,66,2051.7722,12.35,49.01960784,13.7254902,864.5,-1187.2722,35.29411765,-1151.978082,0
415,440,440.1232,13.2,2.64,25.1484,24.7816,3.3,1.32,2.64,30,6.66,3.33,10,66,2036.54,11,49.01960784,13.7254902,770,-1266.54,35.29411765,-1231.245882,0
416,377,377.1232,11.31,2.262,25.2716,24.9048,2.8275,1.131,2.262,30,6.66,3.33,10,66,2017.3523,9.425,49.01960784,13.7254902,659.75,-1357.6023,35.29411765,-1322.308182,0
417,376,376.1232,11.28,2.256,25.3948,25.028,2.82,1.128,2.256,30,6.66,3.33,10,66,2025.4136,9.4,49.01960784,13.7254902,658,-1367.4136,35.29411765,-1332.119482,0
418,439,439.1232,13.17,2.634,25.518,25.1512,3.2925,1.317,2.634,30,6.66,3.33,10,66,2061.6029,10.975,49.01960784,13.7254902,768.25,-1293.3529,35.29411765,-1258.058782,0
419,380,380.1232,11.4,2.28,25.6412,25.2744,2.85,1.14,2.28,30,6.66,3.33,10,66,2044.1732,9.5,49.01960784,13.7254902,665,-1379.1732,35.29411765,-1343.879082,0
420,279,279.1232,8.37,1.674,25.7644,25.3976,2.0925,0.837,1.674,30,6.66,3.33,10,66,2008.2845,6.975,49.01960784,13.7254902,488.25,-1520.0345,35.29411765,-1484.740382,0
421,438,438.1232,13.14,2.628,25.8876,25.5208,3.285,1.314,2.628,30,6.66,3.33,10,66,2086.6658,10.95,49.01960784,13.7254902,766.5,-1320.1658,35.29411765,-1284.871682,0
